DEUTSCH,ENGLISH
er,he
sie,she/they
es,it
wir,we
ihr,you (plural informal)
mich,me
dich,you (informal)
uns,us
euch,you (plural informal)
mein,my
dein,your (informal)
sein,his/its
ihr,her/their
unser,our
was,what
wer,who
wie,how
wo,where
warum,why
wenn,if/when
als,when/as
und,and
oder,or
aber,but
denn,because
mit,with
bei,at/with
vor,before/in front of
hinter,behind
über,over/about
unter,under
durch,through
gegen,against
ohne,without
sein,to be
haben,to have
werden,to become
können,can
müssen,must
wollen,to want
sollen,should
dürfen,may
machen,to do/make
kommen,to come
sehen,to see
sagen,to say
geben,to give
nehmen,to take
stehen,to stand
liegen,to lie (down)
wissen,to know
lassen,to let
finden,to find
bleiben,to stay
denken,to think
glauben,to believe
sprechen,to speak
bringen,to bring
halten,to hold
fragen,to ask
arbeiten,to work
versuchen,to try
leben,to live
fahren,to drive/go
essen,to eat
trinken,to drink
schlafen,to sleep
spielen,to play
lernen,to learn
schreiben,to write
lesen,to read
hören,to hear
verstehen,to understand
gut,good
schlecht,bad
groß,big/large
klein,small
hässlich,ugly
jung,young
alt,old
neu,new
alt,antique
richtig,right/correct
falsch,wrong
teuer,expensive
warm,warm
kalt,cold
leicht,light/easy
schwer,heavy/difficult
schnell,fast
langsam,slow
Zeit,time
Jahr,year
Tag,day
Nacht,night
Mann,man
Frau,woman
Kind,child
Junge,boy
Mädchen,girl
Familie,family
Freund,friend
Auto,car
Haus,house
Wohnung,apartment
Stadt,city
Dorf,village
Arbeit,work
Schule,school
Essen,food
Trinken,drink
Wasser,water
Wein,wine
Bier,beer
Brot,bread
Fleisch,meat
Obst,fruit
Gemüse,vegetables
Zimmer,room
Fenster,window
Tür,door
Tisch,table
Stuhl,chair
Bett,bed
Lampe,lamp
Buch,book
Zeitung,newspaper
Film,movie
Musik,music
Lied,song
Sprache,language
jetzt,now
heute,today
morgen,tomorrow
gestern,yesterday
immer,always
nie,never
oft,often
manchmal,sometimes
selten,rarely
bald,soon
schon,already
noch,still
dort,there
hier,here
überall,everywhere
draußen,outside
drinnen,inside
sehr,very
zu,too
auch,also
nur,only
viel,much/many
wenig,little/few
mehr,more
weniger,less
vielleicht,maybe
natürlich,naturally
leider,unfortunately
gerne,gladly
unbedingt,absolutely
ja,yes
nein,no
danke,thank you
hallo,hello
tschüss,bye
entschuldigung,excuse me
Hilfe,help
warum,why
weil,because
obwohl,although
während,while
dass,that
doch,yet/however
trotzdem,nevertheless
überall,everywhere
jemand,someone
niemand,no one
etwas,something
alles,everything
viel,much/many
wenig,little/few
genug,enough
mehr,more
weniger,less
immer,always
schon,already
noch,still
